,Home_code,Away_code,Venue_code,Matchweek,Season,HomeFullPoint,AwayFullPoint,HomeGoal,AwayGoal,HomeConceded,AwayConceded,pastHP,pastAP,pastHG,pastAG,pastHGC,pastAGC,HomeAvgPoint,AwayAvgPoint
83,12,23,12,9,2016,7.0,6.0,8.0,7.0,20.0,16.0,4.0,4.0,1.0,3.0,8.0,1.0,0.875,0.75
84,14,8,14,9,2016,8.0,11.0,8.0,11.0,14.0,9.0,1.0,1.0,0.0,1.0,3.0,2.0,1.0,1.375
85,15,28,15,9,2016,17.0,10.0,18.0,9.0,10.0,8.0,2.0,2.0,2.0,2.0,1.0,2.0,2.125,1.25
86,25,27,25,9,2016,4.0,11.0,8.0,13.0,15.0,13.0,4.0,4.0,3.0,3.0,5.0,2.0,0.5,1.375
87,29,24,29,9,2016,7.0,2.0,9.0,6.0,17.0,15.0,1.0,1.0,2.0,1.0,1.0,3.0,0.875,0.25
88,7,17,7,9,2016,16.0,14.0,15.0,13.0,9.0,8.0,2.0,2.0,5.0,1.0,0.0,1.0,2.0,1.75
89,16,22,16,9,2016,19.0,12.0,19.0,10.0,8.0,7.0,4.0,4.0,1.0,3.0,3.0,1.0,2.375,1.5
90,8,15,8,10,2016,11.0,20.0,12.0,20.0,12.0,11.0,4.0,4.0,1.0,2.0,4.0,1.0,1.2222222222222223,2.2222222222222223
91,17,5,17,10,2016,14.0,10.0,13.0,8.0,12.0,13.0,3.0,3.0,0.0,3.0,4.0,4.0,1.5555555555555556,1.1111111111111112
92,18,2,18,10,2016,7.0,12.0,7.0,12.0,11.0,12.0,4.0,4.0,0.0,6.0,1.0,1.0,0.7777777777777778,1.3333333333333333
93,24,0,24,10,2016,2.0,20.0,6.0,19.0,16.0,9.0,4.0,4.0,0.0,3.0,3.0,2.0,0.2222222222222222,2.2222222222222223
94,26,14,26,10,2016,19.0,11.0,13.0,11.0,4.0,15.0,3.0,3.0,1.0,3.0,1.0,4.0,2.111111111111111,1.2222222222222223
95,27,12,27,10,2016,12.0,7.0,13.0,8.0,13.0,22.0,0.0,0.0,1.0,1.0,0.0,8.0,1.3333333333333333,0.7777777777777778
96,28,16,28,10,2016,10.0,20.0,10.0,20.0,10.0,9.0,2.0,2.0,2.0,2.0,3.0,2.0,1.1111111111111112,2.2222222222222223
97,9,29,9,10,2016,15.0,10.0,13.0,10.0,8.0,17.0,6.0,6.0,2.0,2.0,3.0,0.0,1.6666666666666667,1.1111111111111112
98,22,7,22,10,2016,13.0,19.0,11.0,19.0,8.0,9.0,6.0,6.0,4.0,7.0,2.0,0.0,1.4444444444444444,2.111111111111111
99,23,25,23,10,2016,9.0,5.0,9.0,8.0,16.0,15.0,1.0,1.0,4.0,2.0,0.0,3.0,1.0,0.5555555555555556
100,2,24,2,11,2016,12.0,2.0,12.0,7.0,14.0,20.0,0.0,0.0,0.0,1.0,2.0,5.0,1.2,0.2
101,5,8,5,11,2016,11.0,11.0,8.0,14.0,13.0,16.0,0.0,0.0,2.0,3.0,1.0,7.0,1.1,1.1
102,7,9,7,11,2016,22.0,18.0,21.0,15.0,9.0,8.0,3.0,3.0,6.0,3.0,0.0,2.0,2.2,1.8
103,16,18,16,11,2016,23.0,10.0,24.0,9.0,9.0,11.0,4.0,4.0,5.0,2.0,1.0,0.0,2.3,1.0
104,29,23,29,11,2016,10.0,12.0,10.0,12.0,19.0,17.0,6.0,6.0,1.0,5.0,2.0,1.0,1.0,1.2
105,0,26,0,11,2016,23.0,20.0,23.0,14.0,10.0,5.0,2.0,2.0,4.0,1.0,1.0,1.0,2.3,2.0
106,12,22,12,11,2016,7.0,13.0,8.0,11.0,23.0,10.0,1.0,1.0,0.0,1.0,3.0,3.0,0.7,1.3
107,14,28,14,11,2016,12.0,10.0,12.0,10.0,16.0,14.0,0.0,0.0,4.0,1.0,2.0,6.0,1.2,1.0
108,15,27,15,11,2016,23.0,15.0,24.0,14.0,13.0,13.0,4.0,4.0,6.0,1.0,3.0,0.0,2.3,1.5
109,25,17,25,11,2016,5.0,15.0,9.0,13.0,18.0,12.0,1.0,1.0,1.0,0.0,3.0,4.0,0.5,1.5
110,8,16,8,12,2016,11.0,24.0,16.0,25.0,19.0,10.0,4.0,4.0,4.0,5.0,7.0,1.0,1.0,2.1818181818181817
111,9,25,9,12,2016,18.0,5.0,15.0,10.0,13.0,21.0,0.0,0.0,2.0,2.0,5.0,6.0,1.6363636363636365,0.4545454545454545
112,17,0,17,12,2016,18.0,24.0,16.0,24.0,13.0,11.0,4.0,4.0,3.0,5.0,1.0,2.0,1.6363636363636365,2.1818181818181817
113,22,15,22,12,2016,13.0,26.0,12.0,30.0,12.0,14.0,6.0,6.0,1.0,10.0,4.0,3.0,1.181818181818182,2.363636363636364
114,23,2,23,12,2016,13.0,12.0,13.0,13.0,18.0,16.0,0.0,0.0,4.0,1.0,2.0,4.0,1.181818181818182,1.0909090909090908
115,24,12,24,12,2016,5.0,10.0,9.0,10.0,21.0,24.0,3.0,3.0,3.0,2.0,5.0,2.0,0.4545454545454545,0.9090909090909092
116,26,29,26,12,2016,21.0,11.0,15.0,11.0,6.0,20.0,1.0,1.0,2.0,1.0,2.0,3.0,1.9090909090909087,1.0
117,27,14,27,12,2016,15.0,12.0,15.0,13.0,19.0,18.0,1.0,1.0,2.0,2.0,6.0,3.0,1.3636363636363635,1.0909090909090908
118,18,7,18,12,2016,11.0,25.0,10.0,26.0,12.0,9.0,6.0,6.0,3.0,7.0,1.0,0.0,1.0,2.272727272727273
119,28,5,28,12,2016,13.0,14.0,12.0,11.0,15.0,15.0,4.0,4.0,2.0,3.0,5.0,2.0,1.181818181818182,1.2727272727272727
120,5,16,5,13,2016,14.0,27.0,11.0,27.0,19.0,11.0,4.0,4.0,3.0,3.0,6.0,2.0,1.1666666666666667,2.25
121,7,26,7,13,2016,28.0,24.0,27.0,18.0,9.0,8.0,4.0,4.0,6.0,4.0,0.0,3.0,2.333333333333333,2.0
122,12,28,12,13,2016,10.0,16.0,10.0,16.0,27.0,15.0,6.0,6.0,2.0,6.0,4.0,1.0,0.8333333333333334,1.3333333333333333
123,14,18,14,13,2016,12.0,11.0,14.0,10.0,20.0,13.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,0.9166666666666666
124,15,24,15,13,2016,27.0,8.0,30.0,12.0,14.0,21.0,6.0,6.0,6.0,5.0,1.0,1.0,2.25,0.6666666666666666
125,25,8,25,13,2016,6.0,11.0,11.0,17.0,22.0,21.0,0.0,0.0,2.0,3.0,4.0,5.0,0.5,0.9166666666666666
126,0,2,0,13,2016,25.0,15.0,25.0,14.0,12.0,16.0,3.0,3.0,2.0,2.0,2.0,2.0,2.083333333333333,1.25
127,17,29,17,13,2016,19.0,11.0,17.0,13.0,14.0,23.0,1.0,1.0,4.0,3.0,2.0,4.0,1.5833333333333333,0.9166666666666666
128,22,9,22,13,2016,14.0,19.0,12.0,16.0,12.0,14.0,1.0,1.0,1.0,1.0,2.0,6.0,1.1666666666666667,1.5833333333333333
129,27,23,27,13,2016,18.0,13.0,17.0,13.0,20.0,19.0,1.0,1.0,3.0,1.0,7.0,2.0,1.5,1.0833333333333333
130,8,22,8,14,2016,11.0,17.0,21.0,13.0,26.0,12.0,4.0,4.0,5.0,1.0,7.0,0.0,0.8461538461538461,1.3076923076923077
131,16,7,16,14,2016,30.0,31.0,29.0,29.0,12.0,10.0,6.0,6.0,4.0,3.0,2.0,1.0,2.3076923076923075,2.3846153846153846
132,23,5,23,14,2016,16.0,14.0,14.0,12.0,19.0,21.0,0.0,0.0,1.0,1.0,1.0,6.0,1.2307692307692308,1.0769230769230769
133,24,14,24,14,2016,8.0,13.0,12.0,16.0,23.0,22.0,1.0,1.0,3.0,3.0,2.0,4.0,0.6153846153846154,1.0
134,26,25,26,14,2016,24.0,9.0,19.0,16.0,10.0,26.0,4.0,4.0,4.0,6.0,4.0,5.0,1.8461538461538465,0.6923076923076923
135,28,27,28,14,2016,17.0,18.0,17.0,17.0,16.0,21.0,3.0,3.0,5.0,2.0,1.0,2.0,1.3076923076923077,1.3846153846153846
136,29,0,29,14,2016,12.0,28.0,14.0,28.0,24.0,13.0,4.0,4.0,3.0,4.0,4.0,2.0,0.9230769230769232,2.1538461538461537
137,2,15,2,14,2016,15.0,30.0,15.0,32.0,19.0,14.0,4.0,4.0,2.0,2.0,3.0,0.0,1.1538461538461535,2.3076923076923075
138,9,17,9,14,2016,19.0,20.0,16.0,18.0,15.0,15.0,2.0,2.0,1.0,2.0,2.0,2.0,1.4615384615384617,1.5384615384615383
139,18,12,18,14,2016,12.0,11.0,12.0,11.0,15.0,28.0,1.0,1.0,2.0,1.0,3.0,4.0,0.9230769230769232,0.8461538461538461
140,0,23,0,15,2016,31.0,19.0,33.0,16.0,14.0,19.0,6.0,6.0,8.0,3.0,2.0,0.0,2.2142857142857144,1.3571428571428572
141,5,2,5,15,2016,14.0,18.0,12.0,19.0,23.0,22.0,3.0,3.0,1.0,5.0,4.0,6.0,1.0,1.2857142857142858
142,12,8,12,15,2016,11.0,14.0,11.0,24.0,29.0,26.0,3.0,3.0,1.0,7.0,2.0,5.0,0.7857142857142857,1.0
143,14,16,14,15,2016,13.0,30.0,17.0,30.0,24.0,15.0,3.0,3.0,3.0,3.0,4.0,4.0,0.9285714285714286,2.142857142857143
144,25,24,25,15,2016,9.0,11.0,16.0,14.0,31.0,24.0,3.0,3.0,5.0,2.0,9.0,3.0,0.6428571428571429,0.7857142857142857
